symbol,series,stock_date,previous_close,open_price,high_price,low_price,last_traded_price,close_price,avg_price,total_trade_qty,turnover_in_lacs,no_of_trades,delivered_qty,delivered_percentage,52_week_high,52_week_high_date,52_week_low,52_week_low_date
MAHSCOOTER,EQ,2024-10-04,11593.65,11477.7,11550.0,11190.0,11238.0,11309.55,11416.29,9014,1029.06,3208, 2715,30.12,12788.0,2024-09-25,6732.1,2024-03-13
MAHSEAMLES,EQ,2024-10-04,632.8,632.0,647.0,624.15,636.45,632.95,637.76,223022,1422.35,15826, 107462,48.18,1097.0,2024-01-30,569.25,2024-08-09
MAITHANALL,EQ,2024-10-04,1139.15,1142.2,1163.25,1115.0,1139.0,1126.25,1134.74,49989,567.25,6198, 22585,45.18,1359.0,2024-05-02,955.0,2024-03-20
MAKEINDIA,EQ,2024-10-04,155.16,156.47,156.47,152.88,153.28,153.26,153.89,34803,53.56,1191, 27981,80.4,161.1,2024-09-25,93.75,2023-10-25
MALUPAPER,EQ,2024-10-04,53.48,55.54,55.54,48.65,49.2,49.0,52.22,572828,299.13,5528, 302081,52.74,69.9,2024-01-31,34.0,2024-07-02
MANAKSIA,EQ,2024-10-04,101.54,101.54,103.5,100.0,100.7,101.0,101.94,111607,113.78,1941, 56415,50.55,155.95,2023-10-18,90.35,2024-08-14
MANAKSTEEL,EQ,2024-10-04,68.12,69.15,70.29,66.2,66.7,67.08,68.07,151849,103.37,2472, 68385,45.03,107.0,2024-01-30,39.55,2023-10-26
MANALIPETC,EQ,2024-10-04,79.62,79.58,81.39,78.8,80.63,80.13,80.09,277050,221.89,2729, 139249,50.26,104.95,2024-07-10,55.95,2024-03-28
MANAPPURAM,EQ,2024-10-04,191.23,191.49,194.51,188.4,189.09,189.3,191.84,8164830,15663.14,68872, 3737938,45.78,230.4,2024-07-19,125.35,2023-10-26
MANCREDIT,EQ,2024-10-04,137.28,138.8,139.54,135.18,136.5,137.48,137.16,24989,34.27,603, 2406,9.63,169.0,2024-08-19,126.1,2024-08-16
MANGALAM,EQ,2024-10-04,122.91,122.1,124.9,121.07,122.1,122.77,122.71,40902,50.19,839, 22381,54.72,144.99,2024-08-26,90.8,2024-03-28
MANGCHEFER,EQ,2024-10-04,129.52,128.5,134.4,128.5,130.89,131.57,131.89,373381,492.47,2990, 274796,73.6,156.1,2024-01-29,94.4,2024-06-04
MANGLMCEM,EQ,2024-10-04,889.15,890.0,909.0,872.7,875.0,877.35,884.62,137273,1214.34,10168, 93213,67.9,1093.7,2024-09-04,351.45,2023-10-23
MANINDS,EQ,2024-10-04,340.0,341.3,348.0,332.0,338.0,336.55,338.47,232125,785.67,4041, 159104,68.54,513.7,2024-07-08,185.55,2023-10-04
MANINFRA,EQ,2024-10-04,190.22,190.27,192.62,187.55,190.5,190.22,190.57,512604,976.85,10596, 179589,35.03,249.3,2024-02-05,137.2,2023-11-07
MANKIND,EQ,2024-10-04,2537.8,2541.95,2620.0,2514.7,2596.95,2611.65,2585.64,364821,9432.95,52412, 139767,38.31,2780.0,2024-09-24,1683.05,2023-11-01
MANORAMA,EQ,2024-10-04,821.6,828.45,840.0,812.0,820.0,827.2,831.05,103756,862.26,4059, 78640,75.79,910.75,2024-08-21,301.55,2024-03-13
MANUGRAPH,EQ,2024-10-04,26.15,26.2,26.2,25.0,25.25,25.09,25.73,106418,27.38,612, 55943,52.57,35.2,2024-02-01,18.0,2024-06-07
MANYAVAR,EQ,2024-10-04,1301.25,1295.0,1315.0,1242.9,1284.0,1298.9,1295.82,314207,4071.54,13853, 227634,72.45,1487.9,2023-12-08,886.05,2024-04-15
MAPMYINDIA,EQ,2024-10-04,2146.85,2127.0,2218.0,2084.3,2159.0,2153.8,2177.1,204965,4462.3,26530, 88599,43.23,2747.85,2024-06-21,1600.0,2024-03-14
MARALOVER,EQ,2024-10-04,76.17,77.48,77.48,74.65,74.7,74.94,75.77,23487,17.8,1125, 11716,49.88,102.0,2024-01-31,61.0,2024-03-13
MARATHON,EQ,2024-10-04,659.7,663.6,673.75,640.05,656.3,659.3,659.25,45911,302.67,2274, 21186,46.15,736.9,2024-09-23,337.7,2024-06-04
MARICO,EQ,2024-10-04,699.05,699.7,703.95,684.4,689.9,690.2,692.72,2050300,14202.85,49050, 1153255,56.25,719.85,2024-10-03,486.3,2024-03-19
MARKSANS,EQ,2024-10-04,289.1,289.1,294.4,281.6,289.0,289.8,289.54,2345516,6791.28,52813, 666968,28.44,328.8,2024-09-20,97.45,2023-10-26
MARSHALL,EQ,2024-10-04,33.18,33.05,38.49,32.21,35.5,35.46,36.6,707053,258.8,6994, 178390,25.23,60.3,2023-10-11,22.3,2024-05-07
MARUTI,EQ,2024-10-04,12647.35,12689.9,12877.85,12512.5,12603.0,12605.75,12668.27,679362,86063.41,139069, 324062,47.7,13680.0,2024-08-01,9737.65,2024-01-18
MASFIN,EQ,2024-10-04,282.3,283.9,284.25,276.85,280.3,279.8,280.46,225454,632.31,12811, 98546,43.71,387.95,2024-02-22,269.45,2024-03-14
MASPTOP50,EQ,2024-10-04,43.68,44.04,44.05,43.25,43.8,43.75,43.9,262432,115.21,1112, 233096,88.82,46.9,2024-04-09,30.76,2023-10-30
MASTEK,EQ,2024-10-04,2641.2,2639.9,2698.0,2619.05,2647.35,2660.0,2666.64,93764,2500.35,16663, 34927,37.25,3145.0,2024-02-19,2103.05,2023-10-26
MATRIMONY,EQ,2024-10-04,750.5,746.05,769.0,740.8,763.8,760.75,759.65,92540,702.98,5960, 54523,58.92,846.95,2024-09-03,499.25,2024-02-21
MAWANASUG,EQ,2024-10-04,121.65,121.7,123.36,118.0,119.0,119.04,120.62,183968,221.91,2798, 72313,39.31,137.0,2024-08-30,83.4,2024-03-27
MAXESTATES,EQ,2024-10-04,599.7,604.9,615.0,578.25,600.1,607.2,598.36,176758,1057.65,7809, 72583,41.06,698.75,2024-08-27,242.75,2023-11-02
MAXHEALTH,EQ,2024-10-04,942.15,928.35,938.85,907.75,924.95,926.35,926.98,4535448,42042.56,136879, 3062508,67.52,1118.0,2024-09-24,538.65,2023-10-26
